vehicle_id,vehicle_type,enter_time_s,departure_time_s,travel_time_s,route_distance_m,distance_traveled_m,accumulated_waiting_time_s,custom_wait_s,moving_time_s,time_loss_s,free_flow_time_s,delay_s,waiting_fraction,moving_fraction,schedule_efficiency,completed_trip,trip_status
124779_406_0,pkw,25206.0,25218.0,12.0,,154.888,0.0,0.0,12.0,1.398,,,0.0,1.0,,True,completed
98305_395_0,pkw,25212.0,25222.0,10.0,,165.594,0.0,0.0,10.0,0.589,,,0.0,1.0,,True,completed
102535_396_0,pkw,25219.0,25229.0,10.0,,153.132,0.0,0.0,10.0,0.693,,,0.0,1.0,,True,completed
147209_416_0,pkw,25221.0,25231.0,10.0,,157.684,0.0,0.0,10.0,0.792,,,0.0,1.0,,True,completed
151372_418_0,pkw,25208.0,25238.0,30.0,,402.732,0.0,0.0,30.0,4.88,,,0.0,1.0,,True,completed
123965_406_0,pkw,25219.0,25257.0,38.0,,430.424,0.0,0.0,38.0,1.834,,,0.0,1.0,,True,completed
120663_405_0,pkw,25247.0,25258.0,11.0,,197.608,0.0,0.0,11.0,1.263,,,0.0,1.0,,True,completed
91582_392_0,pkw,25219.0,25258.0,39.0,,457.003,0.0,0.0,39.0,4.979,,,0.0,1.0,,True,completed
121258_405_0,pkw,25241.0,25261.0,20.0,,188.394,1.0,1.0,19.0,9.32,,,0.05,0.95,,True,completed
102630_396_0,pkw,25253.0,25263.0,10.0,,191.677,0.0,0.0,10.0,0.26,,,0.0,1.0,,True,completed
113509_402_0,pkw,25249.0,25263.0,14.0,,179.479,0.0,0.0,14.0,1.489,,,0.0,1.0,,True,completed
126742_407_0,pkw,25243.0,25263.0,20.0,,195.364,0.0,0.0,20.0,8.896,,,0.0,1.0,,True,completed
102501_396_0,pkw,25245.0,25265.0,20.0,,197.915,0.0,0.0,20.0,6.51,,,0.0,1.0,,True,completed
122194_406_0,pkw,25256.0,25267.0,11.0,,187.395,0.0,0.0,11.0,0.371,,,0.0,1.0,,True,completed
130147_409_0,pkw,25252.0,25267.0,15.0,,187.134,0.0,0.0,15.0,4.282,,,0.0,1.0,,True,completed
135103_411_0,pkw,25258.0,25269.0,11.0,,197.582,0.0,0.0,11.0,1.804,,,0.0,1.0,,True,completed
122376_406_0,pkw,25255.0,25270.0,15.0,,199.3,0.0,0.0,15.0,2.306,,,0.0,1.0,,True,completed
133955_411_0,pkw,25260.0,25271.0,11.0,,197.882,0.0,0.0,11.0,0.3,,,0.0,1.0,,True,completed
152958_419_0,pkw,25258.0,25271.0,13.0,,188.808,0.0,0.0,13.0,3.134,,,0.0,1.0,,True,completed
129253_408_0,pkw,25262.0,25272.0,10.0,,186.657,0.0,0.0,10.0,0.437,,,0.0,1.0,,True,completed
125613_406_0,pkw,25260.0,25273.0,13.0,,194.451,0.0,0.0,13.0,0.555,,,0.0,1.0,,True,completed
120275_405_0,pkw,25262.0,25274.0,12.0,,185.968,0.0,0.0,12.0,1.138,,,0.0,1.0,,True,completed
135201_411_0,pkw,25265.0,25277.0,12.0,,190.351,0.0,0.0,12.0,0.577,,,0.0,1.0,,True,completed
57065_374_0,pkw,25267.0,25278.0,11.0,,185.792,0.0,0.0,11.0,0.426,,,0.0,1.0,,True,completed
134807_411_0,pkw,25264.0,25279.0,15.0,,199.581,0.0,0.0,15.0,4.476,,,0.0,1.0,,True,completed
86189_391_0,pkw,25267.0,25279.0,12.0,,189.29,0.0,0.0,12.0,0.254,,,0.0,1.0,,True,completed
129519_408_0,pkw,25269.0,25280.0,11.0,,196.688,0.0,0.0,11.0,0.62,,,0.0,1.0,,True,completed
82015_389_0,pkw,25269.0,25281.0,12.0,,199.464,0.0,0.0,12.0,1.465,,,0.0,1.0,,True,completed
135431_411_0,pkw,25271.0,25282.0,11.0,,187.993,0.0,0.0,11.0,0.425,,,0.0,1.0,,True,completed
